Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000013	Nematostella_vectensis_NV2t012463001.1 NV2t012463001.1	Clytia_hemispherica_TCONS_00003473-protein TCONS_00003473-protein
OG0000013	Nematostella_vectensis_NV2t022664005.1 NV2t022664005.1, Nematostella_vectensis_NV2t022664004.1 NV2t022664004.1, Nematostella_vectensis_NV2t022664001.1 NV2t022664001.1, Nematostella_vectensis_NV2t022664003.1 NV2t022664003.1, Nematostella_vectensis_NV2t022664006.1 NV2t022664006.1, Nematostella_vectensis_NV2t022664002.1 NV2t022664002.1	Clytia_hemispherica_TCONS_00005153-protein TCONS_00005153-protein
OG0000013	Nematostella_vectensis_NV2t003168003.1 NV2t003168003.1, Nematostella_vectensis_NV2t003168001.1 NV2t003168001.1, Nematostella_vectensis_NV2t003168002.1 NV2t003168002.1	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein
OG0000013	Nematostella_vectensis_NV2t003689001.1 NV2t003689001.1, Nematostella_vectensis_NV2t004522001.1 NV2t004522001.1, Nematostella_vectensis_NV2t005661001.1 NV2t005661001.1	Clytia_hemispherica_TCONS_00073720-protein TCONS_00073720-protein
OG0000014	Nematostella_vectensis_NV2t022999001.1 NV2t022999001.1	Clytia_hemispherica_TCONS_00022833-protein TCONS_00022833-protein
OG0000014	Nematostella_vectensis_NV2t023275001.1 NV2t023275001.1	Clytia_hemispherica_TCONS_00008326-protein TCONS_00008326-protein
OG0000014	Nematostella_vectensis_NV2t020821001.1 NV2t020821001.1	Clytia_hemispherica_TCONS_00055972-protein TCONS_00055972-protein
OG0000014	Nematostella_vectensis_NV2t000087001.1 NV2t000087001.1	Clytia_hemispherica_TCONS_00024369-protein TCONS_00024369-protein
OG0000014	Nematostella_vectensis_NV2t025184002.1 NV2t025184002.1, Nematostella_vectensis_NV2t025184001.1 NV2t025184001.1	Clytia_hemispherica_TCONS_00004887-protein TCONS_00004887-protein
OG0000014	Nematostella_vectensis_NV2t017494001.1 NV2t017494001.1	Clytia_hemispherica_TCONS_00006273-protein TCONS_00006273-protein
OG0000014	Nematostella_vectensis_NV2t022459002.1 NV2t022459002.1, Nematostella_vectensis_NV2t022459001.1 NV2t022459001.1, Nematostella_vectensis_NV2t021229001.1 NV2t021229001.1, Nematostella_vectensis_NV2t022465001.1 NV2t022465001.1, Nematostella_vectensis_NV2t021631001.1 NV2t021631001.1, Nematostella_vectensis_NV2t021630001.1 NV2t021630001.1, Nematostella_vectensis_NV2t021635001.1 NV2t021635001.1, Nematostella_vectensis_NV2t021636001.1 NV2t021636001.1, Nematostella_vectensis_NV2t021230001.1 NV2t021230001.1, Nematostella_vectensis_NV2t021638002.1 NV2t021638002.1, Nematostella_vectensis_NV2t021638001.1 NV2t021638001.1, Nematostella_vectensis_NV2t001124001.1 NV2t001124001.1, Nematostella_vectensis_NV2t001120001.1 NV2t001120001.1, Nematostella_vectensis_NV2t001123004.1 NV2t001123004.1, Nematostella_vectensis_NV2t001123002.1 NV2t001123002.1, Nematostella_vectensis_NV2t001123005.1 NV2t001123005.1, Nematostella_vectensis_NV2t001123003.1 NV2t001123003.1, Nematostella_vectensis_NV2t024070001.1 NV2t024070001.1	Clytia_hemispherica_TCONS_00000234-protein TCONS_00000234-protein
OG0000014	Nematostella_vectensis_NV2t009914001.1 NV2t009914001.1	Clytia_hemispherica_TCONS_00049460-protein TCONS_00049460-protein, Clytia_hemispherica_TCONS_00053160-protein TCONS_00053160-protein
OG0000015	Nematostella_vectensis_NV2t012183001.1 NV2t012183001.1, Nematostella_vectensis_NV2t011069001.1 NV2t011069001.1, Nematostella_vectensis_NV2t011632001.1 NV2t011632001.1, Nematostella_vectensis_NV2t011345005.1 NV2t011345005.1, Nematostella_vectensis_NV2t011345001.1 NV2t011345001.1, Nematostella_vectensis_NV2t011345002.1 NV2t011345002.1, Nematostella_vectensis_NV2t011345004.1 NV2t011345004.1, Nematostella_vectensis_NV2t011345003.1 NV2t011345003.1	Clytia_hemispherica_TCONS_00071047-protein TCONS_00071047-protein
OG0000016	Nematostella_vectensis_NV2t019146002.1 NV2t019146002.1, Nematostella_vectensis_NV2t019146001.1 NV2t019146001.1	Clytia_hemispherica_TCONS_00015027-protein TCONS_00015027-protein, Clytia_hemispherica_TCONS_00066227-protein TCONS_00066227-protein
OG0000016	Nematostella_vectensis_NV2t020475001.1 NV2t020475001.1	Clytia_hemispherica_TCONS_00068527-protein TCONS_00068527-protein, Clytia_hemispherica_TCONS_00055310-protein TCONS_00055310-protein, Clytia_hemispherica_TCONS_00029219-protein TCONS_00029219-protein, Clytia_hemispherica_TCONS_00070408-protein TCONS_00070408-protein
OG0000016	Nematostella_vectensis_NV2t018121001.1 NV2t018121001.1	Clytia_hemispherica_TCONS_00071584-protein TCONS_00071584-protein
OG0000016	Nematostella_vectensis_NV2t002700001.1 NV2t002700001.1	Clytia_hemispherica_TCONS_00016718-protein TCONS_00016718-protein
OG0000016	Nematostella_vectensis_NV2t014820001.1 NV2t014820001.1, Nematostella_vectensis_NV2t014297001.1 NV2t014297001.1, Nematostella_vectensis_NV2t019316003.1 NV2t019316003.1, Nematostella_vectensis_NV2t019316002.1 NV2t019316002.1, Nematostella_vectensis_NV2t010833003.1 NV2t010833003.1, Nematostella_vectensis_NV2t010833002.1 NV2t010833002.1, Nematostella_vectensis_NV2t010833001.1 NV2t010833001.1, Nematostella_vectensis_NV2t008027001.1 NV2t008027001.1, Nematostella_vectensis_NV2t008027002.1 NV2t008027002.1, Nematostella_vectensis_NV2t003582001.1 NV2t003582001.1, Nematostella_vectensis_NV2t001647001.1 NV2t001647001.1, Nematostella_vectensis_NV2t003581001.1 NV2t003581001.1, Nematostella_vectensis_NV2t008375002.1 NV2t008375002.1, Nematostella_vectensis_NV2t008375001.1 NV2t008375001.1, Nematostella_vectensis_NV2t000808002.1 NV2t000808002.1, Nematostella_vectensis_NV2t000807001.1 NV2t000807001.1	Clytia_hemispherica_TCONS_00023824-protein TCONS_00023824-protein, Clytia_hemispherica_TCONS_00010506-protein TCONS_00010506-protein
OG0000018	Nematostella_vectensis_NV2t019165001.1 NV2t019165001.1, Nematostella_vectensis_NV2t019165003.1 NV2t019165003.1, Nematostella_vectensis_NV2t019165002.1 NV2t019165002.1, Nematostella_vectensis_NV2t019166001.1 NV2t019166001.1	Clytia_hemispherica_TCONS_00019092-protein TCONS_00019092-protein, Clytia_hemispherica_TCONS_00038451-protein TCONS_00038451-protein, Clytia_hemispherica_TCONS_00053338-protein TCONS_00053338-protein, Clytia_hemispherica_TCONS_00066533-protein TCONS_00066533-protein
OG0000019	Nematostella_vectensis_NV2t006269003.1 NV2t006269003.1, Nematostella_vectensis_NV2t006269002.1 NV2t006269002.1, Nematostella_vectensis_NV2t006269001.1 NV2t006269001.1	Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein
OG0000019	Nematostella_vectensis_NV2t019847002.1 NV2t019847002.1, Nematostella_vectensis_NV2t019847001.1 NV2t019847001.1	Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein
OG0000019	Nematostella_vectensis_NV2t006489001.1 NV2t006489001.1	Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein
OG0000020	Nematostella_vectensis_NV2t012027001.1 NV2t012027001.1	Clytia_hemispherica_TCONS_00047700-protein TCONS_00047700-protein
OG0000020	Nematostella_vectensis_NV2t011872001.1 NV2t011872001.1, Nematostella_vectensis_NV2t011872002.1 NV2t011872002.1, Nematostella_vectensis_NV2t012159001.1 NV2t012159001.1	Clytia_hemispherica_TCONS_00061671-protein TCONS_00061671-protein, Clytia_hemispherica_TCONS_00046920-protein TCONS_00046920-protein, Clytia_hemispherica_TCONS_00046924-protein TCONS_00046924-protein, Clytia_hemispherica_TCONS_00003321-protein TCONS_00003321-protein
OG0000020	Nematostella_vectensis_NV2t024535002.1 NV2t024535002.1, Nematostella_vectensis_NV2t024535001.1 NV2t024535001.1	Clytia_hemispherica_TCONS_00006265-protein TCONS_00006265-protein
OG0000021	Nematostella_vectensis_NV2t020722001.1 NV2t020722001.1, Nematostella_vectensis_NV2t020722002.1 NV2t020722002.1, Nematostella_vectensis_NV2t020722003.1 NV2t020722003.1	Clytia_hemispherica_TCONS_00006428-protein TCONS_00006428-protein
OG0000021	Nematostella_vectensis_NV2t009849002.1 NV2t009849002.1, Nematostella_vectensis_NV2t009849001.1 NV2t009849001.1	Clytia_hemispherica_TCONS_00024883-protein TCONS_00024883-protein
OG0000021	Nematostella_vectensis_NV2t001337001.1 NV2t001337001.1	Clytia_hemispherica_TCONS_00061561-protein TCONS_00061561-protein
OG0000021	Nematostella_vectensis_NV2t012147001.1 NV2t012147001.1	Clytia_hemispherica_TCONS_00059183-protein TCONS_00059183-protein
OG0000022	Nematostella_vectensis_NV2t009562002.1 NV2t009562002.1, Nematostella_vectensis_NV2t009562001.1 NV2t009562001.1	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein
OG0000023	Nematostella_vectensis_NV2t018385002.1 NV2t018385002.1, Nematostella_vectensis_NV2t018385001.1 NV2t018385001.1	Clytia_hemispherica_TCONS_00023962-protein TCONS_00023962-protein, Clytia_hemispherica_TCONS_00030285-protein TCONS_00030285-protein
OG0000024	Nematostella_vectensis_NV2t000107001.1 NV2t000107001.1, Nematostella_vectensis_NV2t000107002.1 NV2t000107002.1	Clytia_hemispherica_TCONS_00051917-protein TCONS_00051917-protein
OG0000024	Nematostella_vectensis_NV2t003372003.1 NV2t003372003.1, Nematostella_vectensis_NV2t003372002.1 NV2t003372002.1, Nematostella_vectensis_NV2t003372001.1 NV2t003372001.1	Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein
OG0000024	Nematostella_vectensis_NV2t003373001.1 NV2t003373001.1, Nematostella_vectensis_NV2t003373002.1 NV2t003373002.1, Nematostella_vectensis_NV2t003373003.1 NV2t003373003.1	Clytia_hemispherica_TCONS_00055942-protein TCONS_00055942-protein
OG0000027	Nematostella_vectensis_NV2t007036001.1 NV2t007036001.1	Clytia_hemispherica_TCONS_00004998-protein TCONS_00004998-protein
OG0000027	Nematostella_vectensis_NV2t018257001.1 NV2t018257001.1, Nematostella_vectensis_NV2t020778003.1 NV2t020778003.1, Nematostella_vectensis_NV2t020778002.1 NV2t020778002.1, Nematostella_vectensis_NV2t020778001.1 NV2t020778001.1	Clytia_hemispherica_TCONS_00008404-protein TCONS_00008404-protein
OG0000028	Nematostella_vectensis_NV2t021411001.1 NV2t021411001.1	Clytia_hemispherica_TCONS_00014070-protein TCONS_00014070-protein
OG0000029	Nematostella_vectensis_NV2t004704001.1 NV2t004704001.1	Clytia_hemispherica_TCONS_00066649-protein TCONS_00066649-protein
OG0000029	Nematostella_vectensis_NV2t004683002.1 NV2t004683002.1, Nematostella_vectensis_NV2t004683001.1 NV2t004683001.1	Clytia_hemispherica_TCONS_00003166-protein TCONS_00003166-protein
OG0000029	Nematostella_vectensis_NV2t009601003.1 NV2t009601003.1, Nematostella_vectensis_NV2t009601002.1 NV2t009601002.1, Nematostella_vectensis_NV2t009601001.1 NV2t009601001.1, Nematostella_vectensis_NV2t011326001.1 NV2t011326001.1, Nematostella_vectensis_NV2t011326002.1 NV2t011326002.1, Nematostella_vectensis_NV2t011326003.1 NV2t011326003.1, Nematostella_vectensis_NV2t011326004.1 NV2t011326004.1	Clytia_hemispherica_TCONS_00010654-protein TCONS_00010654-protein, Clytia_hemispherica_TCONS_00010652-protein TCONS_00010652-protein
OG0000030	Nematostella_vectensis_NV2t006771001.1 NV2t006771001.1, Nematostella_vectensis_NV2t006771002.1 NV2t006771002.1	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein
OG0000030	Nematostella_vectensis_NV2t013893003.1 NV2t013893003.1, Nematostella_vectensis_NV2t013893002.1 NV2t013893002.1	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein
OG0000030	Nematostella_vectensis_NV2t024729009.1 NV2t024729009.1, Nematostella_vectensis_NV2t024729016.1 NV2t024729016.1, Nematostella_vectensis_NV2t024729018.1 NV2t024729018.1, Nematostella_vectensis_NV2t024729004.1 NV2t024729004.1, Nematostella_vectensis_NV2t024729015.1 NV2t024729015.1, Nematostella_vectensis_NV2t024729005.1 NV2t024729005.1, Nematostella_vectensis_NV2t024729010.1 NV2t024729010.1, Nematostella_vectensis_NV2t024729008.1 NV2t024729008.1, Nematostella_vectensis_NV2t024729007.1 NV2t024729007.1, Nematostella_vectensis_NV2t024729006.1 NV2t024729006.1	Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein
OG0000032	Nematostella_vectensis_NV2t007899001.1 NV2t007899001.1	Clytia_hemispherica_TCONS_00034838-protein TCONS_00034838-protein
OG0000032	Nematostella_vectensis_NV2t008834002.1 NV2t008834002.1	Clytia_hemispherica_TCONS_00051558-protein TCONS_00051558-protein
OG0000033	Nematostella_vectensis_NV2t005041001.1 NV2t005041001.1, Nematostella_vectensis_NV2t002667001.1 NV2t002667001.1	Clytia_hemispherica_TCONS_00050100-protein TCONS_00050100-protein, Clytia_hemispherica_TCONS_00060254-protein TCONS_00060254-protein, Clytia_hemispherica_TCONS_00060270-protein TCONS_00060270-protein, Clytia_hemispherica_TCONS_00063125-protein TCONS_00063125-protein, Clytia_hemispherica_TCONS_00053701-protein TCONS_00053701-protein, Clytia_hemispherica_TCONS_00039900-protein TCONS_00039900-protein, Clytia_hemispherica_TCONS_00023261-protein TCONS_00023261-protein, Clytia_hemispherica_TCONS_00023250-protein TCONS_00023250-protein, Clytia_hemispherica_TCONS_00025608-protein TCONS_00025608-protein
OG0000034	Nematostella_vectensis_NV2t018302001.1 NV2t018302001.1	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein
OG0000034	Nematostella_vectensis_NV2t014163001.1 NV2t014163001.1, Nematostella_vectensis_NV2t014162001.1 NV2t014162001.1	Clytia_hemispherica_TCONS_00055927-protein TCONS_00055927-protein
OG0000034	Nematostella_vectensis_NV2t021926001.1 NV2t021926001.1	Clytia_hemispherica_TCONS_00048912-protein TCONS_00048912-protein, Clytia_hemispherica_TCONS_00057683-protein TCONS_00057683-protein
OG0000035	Nematostella_vectensis_NV2t010387001.1 NV2t010387001.1	Clytia_hemispherica_TCONS_00058995-protein TCONS_00058995-protein
OG0000036	Nematostella_vectensis_NV2t025171002.1 NV2t025171002.1, Nematostella_vectensis_NV2t025171001.1 NV2t025171001.1, Nematostella_vectensis_NV2t022153002.1 NV2t022153002.1, Nematostella_vectensis_NV2t022153001.1 NV2t022153001.1	Clytia_hemispherica_TCONS_00001698-protein TCONS_00001698-protein
OG0000036	Nematostella_vectensis_NV2t025188001.1 NV2t025188001.1, Nematostella_vectensis_NV2t017270001.1 NV2t017270001.1, Nematostella_vectensis_NV2t025193001.1 NV2t025193001.1	Clytia_hemispherica_TCONS_00048163-protein TCONS_00048163-protein
OG0000039	Nematostella_vectensis_NV2t023271001.1 NV2t023271001.1, Nematostella_vectensis_NV2t023270001.1 NV2t023270001.1, Nematostella_vectensis_NV2t023497001.1 NV2t023497001.1, Nematostella_vectensis_NV2t023274001.1 NV2t023274001.1	Clytia_hemispherica_TCONS_00014774-protein TCONS_00014774-protein
OG0000040	Nematostella_vectensis_NV2t010172001.1 NV2t010172001.1, Nematostella_vectensis_NV2t010172003.1 NV2t010172003.1, Nematostella_vectensis_NV2t010172002.1 NV2t010172002.1, Nematostella_vectensis_NV2t010172004.1 NV2t010172004.1	Clytia_hemispherica_TCONS_00002499-protein TCONS_00002499-protein
OG0000040	Nematostella_vectensis_NV2t021870001.1 NV2t021870001.1	Clytia_hemispherica_TCONS_00011389-protein TCONS_00011389-protein
OG0000040	Nematostella_vectensis_NV2t013801001.1 NV2t013801001.1	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein
OG0000041	Nematostella_vectensis_NV2t008369001.1 NV2t008369001.1	Clytia_hemispherica_TCONS_00059541-protein TCONS_00059541-protein
OG0000042	Nematostella_vectensis_NV2t019653001.1 NV2t019653001.1	Clytia_hemispherica_TCONS_00005412-protein TCONS_00005412-protein, Clytia_hemispherica_TCONS_00059228-protein TCONS_00059228-protein, Clytia_hemispherica_TCONS_00007470-protein TCONS_00007470-protein
OG0000042	Nematostella_vectensis_NV2t017038001.1 NV2t017038001.1, Nematostella_vectensis_NV2t016569001.1 NV2t016569001.1, Nematostella_vectensis_NV2t017107001.1 NV2t017107001.1, Nematostella_vectensis_NV2t016567001.1 NV2t016567001.1, Nematostella_vectensis_NV2t017148001.1 NV2t017148001.1	Clytia_hemispherica_TCONS_00066637-protein TCONS_00066637-protein, Clytia_hemispherica_TCONS_00072911-protein TCONS_00072911-protein
OG0000044	Nematostella_vectensis_NV2t009869001.1 NV2t009869001.1, Nematostella_vectensis_NV2t010348003.1 NV2t010348003.1, Nematostella_vectensis_NV2t010348004.1 NV2t010348004.1, Nematostella_vectensis_NV2t010348002.1 NV2t010348002.1, Nematostella_vectensis_NV2t010348007.1 NV2t010348007.1, Nematostella_vectensis_NV2t010348005.1 NV2t010348005.1, Nematostella_vectensis_NV2t010348010.1 NV2t010348010.1, Nematostella_vectensis_NV2t010348008.1 NV2t010348008.1	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein
OG0000045	Nematostella_vectensis_NV2t017119001.1 NV2t017119001.1	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein
OG0000045	Nematostella_vectensis_NV2t015818001.1 NV2t015818001.1	Clytia_hemispherica_TCONS_00036447-protein TCONS_00036447-protein, Clytia_hemispherica_TCONS_00064868-protein TCONS_00064868-protein, Clytia_hemispherica_TCONS_00064836-protein TCONS_00064836-protein, Clytia_hemispherica_TCONS_00043175-protein TCONS_00043175-protein
OG0000046	Nematostella_vectensis_NV2t015588001.1 NV2t015588001.1, Nematostella_vectensis_NV2t007283001.1 NV2t007283001.1, Nematostella_vectensis_NV2t007282001.1 NV2t007282001.1, Nematostella_vectensis_NV2t011749001.1 NV2t011749001.1, Nematostella_vectensis_NV2t011749002.1 NV2t011749002.1, Nematostella_vectensis_NV2t011749003.1 NV2t011749003.1, Nematostella_vectensis_NV2t007825001.1 NV2t007825001.1, Nematostella_vectensis_NV2t022910001.1 NV2t022910001.1, Nematostella_vectensis_NV2t024719001.1 NV2t024719001.1, Nematostella_vectensis_NV2t001979001.1 NV2t001979001.1, Nematostella_vectensis_NV2t000566001.1 NV2t000566001.1, Nematostella_vectensis_NV2t001244001.1 NV2t001244001.1, Nematostella_vectensis_NV2t002698002.1 NV2t002698002.1, Nematostella_vectensis_NV2t002698001.1 NV2t002698001.1, Nematostella_vectensis_NV2t002696001.1 NV2t002696001.1, Nematostella_vectensis_NV2t025688001.1 NV2t025688001.1, Nematostella_vectensis_NV2t004753001.1 NV2t004753001.1, Nematostella_vectensis_NV2t012033003.1 NV2t012033003.1, Nematostella_vectensis_NV2t012033004.1 NV2t012033004.1, Nematostella_vectensis_NV2t012033005.1 NV2t012033005.1, Nematostella_vectensis_NV2t012036001.1 NV2t012036001.1, Nematostella_vectensis_NV2t001129001.1 NV2t001129001.1, Nematostella_vectensis_NV2t000399001.1 NV2t000399001.1	Clytia_hemispherica_TCONS_00050883-protein TCONS_00050883-protein, Clytia_hemispherica_TCONS_00065761-protein TCONS_00065761-protein, Clytia_hemispherica_TCONS_00072914-protein TCONS_00072914-protein, Clytia_hemispherica_TCONS_00003192-protein TCONS_00003192-protein, Clytia_hemispherica_TCONS_00000570-protein TCONS_00000570-protein, Clytia_hemispherica_TCONS_00043112-protein TCONS_00043112-protein, Clytia_hemispherica_TCONS_00043709-protein TCONS_00043709-protein
OG0000049	Nematostella_vectensis_NV2t002812001.1 NV2t002812001.1	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein
OG0000051	Nematostella_vectensis_NV2t000903001.1 NV2t000903001.1, Nematostella_vectensis_NV2t000907002.1 NV2t000907002.1, Nematostella_vectensis_NV2t000903002.1 NV2t000903002.1, Nematostella_vectensis_NV2t000907001.1 NV2t000907001.1, Nematostella_vectensis_NV2t000903003.1 NV2t000903003.1	Clytia_hemispherica_TCONS_00024466-protein TCONS_00024466-protein, Clytia_hemispherica_TCONS_00037794-protein TCONS_00037794-protein
OG0000051	Nematostella_vectensis_NV2t003042004.1 NV2t003042004.1	Clytia_hemispherica_TCONS_00046933-protein TCONS_00046933-protein, Clytia_hemispherica_TCONS_00065253-protein TCONS_00065253-protein
OG0000053	Nematostella_vectensis_NV2t012441001.1 NV2t012441001.1	Clytia_hemispherica_TCONS_00069010-protein TCONS_00069010-protein
OG0000054	Nematostella_vectensis_NV2t000638001.1 NV2t000638001.1	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein
OG0000054	Nematostella_vectensis_NV2t005524014.1 NV2t005524014.1, Nematostella_vectensis_NV2t005524013.1 NV2t005524013.1, Nematostella_vectensis_NV2t005524012.1 NV2t005524012.1	Clytia_hemispherica_TCONS_00036167-protein TCONS_00036167-protein
OG0000056	Nematostella_vectensis_NV2t020283001.1 NV2t020283001.1	Clytia_hemispherica_TCONS_00054179-protein TCONS_00054179-protein
OG0000061	Nematostella_vectensis_NV2t004625001.1 NV2t004625001.1	Clytia_hemispherica_TCONS_00050243-protein TCONS_00050243-protein
OG0000061	Nematostella_vectensis_NV2t000137001.1 NV2t000137001.1, Nematostella_vectensis_NV2t000137003.1 NV2t000137003.1, Nematostella_vectensis_NV2t000137002.1 NV2t000137002.1	Clytia_hemispherica_TCONS_00002099-protein TCONS_00002099-protein, Clytia_hemispherica_TCONS_00005277-protein TCONS_00005277-protein, Clytia_hemispherica_TCONS_00040450-protein TCONS_00040450-protein, Clytia_hemispherica_TCONS_00005276-protein TCONS_00005276-protein
OG0000062	Nematostella_vectensis_NV2t020618001.1 NV2t020618001.1	Clytia_hemispherica_TCONS_00052771-protein TCONS_00052771-protein, Clytia_hemispherica_TCONS_00023638-protein TCONS_00023638-protein
OG0000063	Nematostella_vectensis_NV2t000128002.1 NV2t000128002.1, Nematostella_vectensis_NV2t000128001.1 NV2t000128001.1, Nematostella_vectensis_NV2t000128004.1 NV2t000128004.1, Nematostella_vectensis_NV2t000128003.1 NV2t000128003.1, Nematostella_vectensis_NV2t010760002.1 NV2t010760002.1, Nematostella_vectensis_NV2t010760001.1 NV2t010760001.1, Nematostella_vectensis_NV2t006480001.1 NV2t006480001.1, Nematostella_vectensis_NV2t023188001.1 NV2t023188001.1	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein
OG0000064	Nematostella_vectensis_NV2t022930001.1 NV2t022930001.1	Clytia_hemispherica_TCONS_00067923-protein TCONS_00067923-protein
OG0000074	Nematostella_vectensis_NV2t010243002.1 NV2t010243002.1	Clytia_hemispherica_TCONS_00028190-protein TCONS_00028190-protein
OG0000075	Nematostella_vectensis_NV2t002755001.1 NV2t002755001.1	Clytia_hemispherica_TCONS_00018308-protein TCONS_00018308-protein, Clytia_hemispherica_TCONS_00054794-protein TCONS_00054794-protein
OG0000075	Nematostella_vectensis_NV2t013338003.1 NV2t013338003.1, Nematostella_vectensis_NV2t013338002.1 NV2t013338002.1, Nematostella_vectensis_NV2t013338001.1 NV2t013338001.1, Nematostella_vectensis_NV2t003202001.1 NV2t003202001.1	Clytia_hemispherica_TCONS_00047980-protein TCONS_00047980-protein
OG0000080	Nematostella_vectensis_NV2t017964001.1 NV2t017964001.1, Nematostella_vectensis_NV2t003669001.1 NV2t003669001.1, Nematostella_vectensis_NV2t003671001.1 NV2t003671001.1	Clytia_hemispherica_TCONS_00070986-protein TCONS_00070986-protein
OG0000081	Nematostella_vectensis_NV2t010636001.1 NV2t010636001.1, Nematostella_vectensis_NV2t010636002.1 NV2t010636002.1	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein
OG0000081	Nematostella_vectensis_NV2t001170001.1 NV2t001170001.1	Clytia_hemispherica_TCONS_00006563-protein TCONS_00006563-protein
OG0000082	Nematostella_vectensis_NV2t009511001.1 NV2t009511001.1, Nematostella_vectensis_NV2t020881001.1 NV2t020881001.1, Nematostella_vectensis_NV2t016343001.1 NV2t016343001.1	Clytia_hemispherica_TCONS_00001201-protein TCONS_00001201-protein
OG0000084	Nematostella_vectensis_NV2t011420001.1 NV2t011420001.1	Clytia_hemispherica_TCONS_00057688-protein TCONS_00057688-protein
OG0000084	Nematostella_vectensis_NV2t011417001.1 NV2t011417001.1	Clytia_hemispherica_TCONS_00006263-protein TCONS_00006263-protein
OG0000086	Nematostella_vectensis_NV2t001985001.1 NV2t001985001.1	Clytia_hemispherica_TCONS_00039485-protein TCONS_00039485-protein, Clytia_hemispherica_TCONS_00061995-protein TCONS_00061995-protein, Clytia_hemispherica_TCONS_00068191-protein TCONS_00068191-protein
OG0000087	Nematostella_vectensis_NV2t015454001.1 NV2t015454001.1	Clytia_hemispherica_TCONS_00024126-protein TCONS_00024126-protein
OG0000089	Nematostella_vectensis_NV2t022735001.1 NV2t022735001.1	Clytia_hemispherica_TCONS_00004749-protein TCONS_00004749-protein
OG0000092	Nematostella_vectensis_NV2t003067001.1 NV2t003067001.1, Nematostella_vectensis_NV2t003067002.1 NV2t003067002.1, Nematostella_vectensis_NV2t003067003.1 NV2t003067003.1, Nematostella_vectensis_NV2t001288001.1 NV2t001288001.1, Nematostella_vectensis_NV2t001288002.1 NV2t001288002.1, Nematostella_vectensis_NV2t001288003.1 NV2t001288003.1	Clytia_hemispherica_TCONS_00018221-protein TCONS_00018221-protein, Clytia_hemispherica_TCONS_00006966-protein TCONS_00006966-protein, Clytia_hemispherica_TCONS_00006964-protein TCONS_00006964-protein, Clytia_hemispherica_TCONS_00006967-protein TCONS_00006967-protein, Clytia_hemispherica_TCONS_00054784-protein TCONS_00054784-protein, Clytia_hemispherica_TCONS_00007479-protein TCONS_00007479-protein
OG0000094	Nematostella_vectensis_NV2t021528002.1 NV2t021528002.1, Nematostella_vectensis_NV2t021528001.1 NV2t021528001.1	Clytia_hemispherica_TCONS_00019291-protein TCONS_00019291-protein
OG0000099	Nematostella_vectensis_NV2t012418001.1 NV2t012418001.1	Clytia_hemispherica_TCONS_00015994-protein TCONS_00015994-protein, Clytia_hemispherica_TCONS_00016000-protein TCONS_00016000-protein, Clytia_hemispherica_TCONS_00015967-protein TCONS_00015967-protein, Clytia_hemispherica_TCONS_00064088-protein TCONS_00064088-protein, Clytia_hemispherica_TCONS_00065037-protein TCONS_00065037-protein
OG0000100	Nematostella_vectensis_NV2t005196004.1 NV2t005196004.1, Nematostella_vectensis_NV2t005199001.1 NV2t005199001.1, Nematostella_vectensis_NV2t005199002.1 NV2t005199002.1, Nematostella_vectensis_NV2t005196003.1 NV2t005196003.1, Nematostella_vectensis_NV2t005196001.1 NV2t005196001.1, Nematostella_vectensis_NV2t005196002.1 NV2t005196002.1	Clytia_hemispherica_TCONS_00062227-protein TCONS_00062227-protein
OG0000100	Nematostella_vectensis_NV2t005200001.1 NV2t005200001.1	Clytia_hemispherica_TCONS_00062230-protein TCONS_00062230-protein
OG0000100	Nematostella_vectensis_NV2t005188001.1 NV2t005188001.1, Nematostella_vectensis_NV2t005188002.1 NV2t005188002.1	Clytia_hemispherica_TCONS_00024080-protein TCONS_00024080-protein
